Mix_ID,PCC_%,Age_days,Sample_No,Weight_lb,Avg_Length_in,Avg_Diameter_in,Area_in2,Max_Load_lbf,Max_Stress_psi,Strength_MPa,Water_lbs,Cement_lbs,FineAgg_lbs,CoarseAgg_lbs,PCC_lbs,WaterCement_Ratio,TotalAgg_lbs,FineCoarse_Ratio,TotalMix_lbs,PCC_Fraction,PCC_Cement_Ratio,Cylinder_Volume_in3,Density_lb_per_in3
5% PCC,5,28,3,8.6945,8.138,3.995,12.5349743227774,69897.9,5574.22,38.4328939810638,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,102.009621038762,0.0852321566482069
5% PCC,5,56,1,8.644,8.091,3.982,12.4535277478349,77697.82,6238.732,43.0145429373563,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,100.761493007732,0.0857867399735402
5% PCC,5,56,2,8.59,8.109,3.977,12.4222728279225,77407.1,6231.31,42.9633700487499,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,100.732210361623,0.0852756031974514
5% PCC,5,56,3,8.659,8.068,3.982,12.4535277478349,76348.2,6130.65,42.2693437799385,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,100.475061869532,0.0861805888832776
5% PCC,5,90,1,8.668,8.11,4.002,12.5789401265662,84499.9,6717.57,46.3160147285853,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,102.015204426452,0.0849677266122544
5% PCC,5,90,2,8.6695,8.145,4.008,12.6166863622991,78832.1,6248.24,43.0800982896696,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,102.762910420926,0.084364095610848
5% PCC,5,90,3,8.6595,8.137,4.001,12.5726545850645,78498.3,6243.57,43.0478997731253,39.742,86.4652,106.144,214.489,4.5508,0.459630001434103,320.633,0.494869200751554,451.391,0.0100817251562393,0.0526315789473684,102.30369035867,0.0846450403659962
10% PCC,10,1,1,8.56,8.168,4.006,,28703.0,2277.28,15.7012928813712,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,102.950272468379,0.0831469387575363
10% PCC,10,1,2,8.459,8.027,4.0,,27955.1,2224.31,15.3360775877199,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,100.870256921461,0.0838602007982025
10% PCC,10,1,3,8.523,8.152,4.001,,24350.7,1936.8,13.353765919272,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,102.492280177446,0.0831574825464322
10% PCC,10,7,1,8.626,8.138,3.977,12.4222728279225,51046.0,4108.36,28.3261450599444,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,101.092456273633,0.0853278307597105
10% PCC,10,7,2,8.58,8.073,3.972,12.3910571779183,58242.9,4700.39,32.4080482183431,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,100.033004597334,0.0857716913986273
10% PCC,10,7,3,8.539,8.049,3.992,12.5161553973842,49506.1,3954.8,27.267386130492,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,100.742534793545,0.0847606228838616
10% PCC,10,28,1,8.567,8.056,3.996,12.5412504395011,67539.6,5385.11,37.1290264299519,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,101.032313540621,0.0847946533121365
10% PCC,10,28,2,8.5645,8.088,3.999,12.5600882144502,66563.3,5299.59,36.5393867865111,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,101.585993478473,0.084307882481997
10% PCC,10,28,3,8.578,8.119,3.988,12.4910854880086,67532.4,5404.73,37.2643015679817,39.742,81.9144,106.144,214.489,9.1016,0.485165001513775,320.633,0.494869200751554,451.391,0.0201634503124785,0.111111111111111,101.415123077141,0.0845830457995416
